Account,Creditline,Target,predicted_target,top_feature_1,top_feature_1_value,top_feature_1_shap,top_feature_2,top_feature_2_value,top_feature_2_shap,top_feature_3,top_feature_3_value,top_feature_3_shap,top_feature_4,top_feature_4_value,top_feature_4_shap,top_feature_5,top_feature_5_value,top_feature_5_shap,analyst_summary
5000204,5000204-05-00,High Risk,High Risk,start_year,-7.443761453880895,2.791956352889355,loan_age_days,7.925934001394128,2.4646105385233255,Outstanding,6.28155643987818,2.3245196543849995,account_total_outstanding,5.2610238059570555,-2.3225228579146884,Voluntary saving,2.9877442550242885,-1.7151816922738268,"start_year=-7.4438 (pushes_toward High Risk, shap=2.7920); loan_age_days=7.9259 (pushes_toward High Risk, shap=2.4646); Outstanding=6.2816 (pushes_toward High Risk, shap=2.3245); account_total_outstanding=5.2610 (pushes_away High Risk, shap=-2.3225); Voluntary saving=2.9877 (pushes_away High Risk, shap=-1.7152)"
5000204,5000204-01-003,High Risk,Low Risk,remaining_to_duration_ratio,-2.7689972689476767,-2.310475634070626,account_total_outstanding,5.2610238059570555,2.136605162247365,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Salary,-0.3680747663190891,-1.359756607880681,Outstanding,-0.4866388489104043,1.1376742701143425,"remaining_to_duration_ratio=-2.7690 (pushes_away Low Risk, shap=-2.3105); account_total_outstanding=5.2610 (pushes_toward Low Risk, shap=2.1366); Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Salary=-0.3681 (pushes_away Low Risk, shap=-1.3598); Outstanding=-0.4866 (pushes_toward Low Risk, shap=1.1377)"
5000204,5000204-03-04,High Risk,Medium Risk,Periodicity,19.677149494330546,8.179728429869527,Duration,-1.000691534569796,-1.6064050651862791,start_year,-2.7683410365672496,-1.21198583626353,Salary,-0.3680747663190891,0.9503865677551956,Outstanding,3.4688432359752244,0.6408678380715037,"Periodicity=19.6771 (pushes_toward Medium Risk, shap=8.1797); Duration=-1.0007 (pushes_away Medium Risk, shap=-1.6064); start_year=-2.7683 (pushes_away Medium Risk, shap=-1.2120); Salary=-0.3681 (pushes_toward Medium Risk, shap=0.9504); Outstanding=3.4688 (pushes_toward Medium Risk, shap=0.6409)"
5000482,5000482-03-01,High Risk,Medium Risk,Outstanding,10.591745737560016,2.565264609046151,Duration,1.1211817238977415,1.3548402270285964,Salary,-0.3680747663190891,0.9503865677551956,Remaining Period,1.3965882807407488,-0.7512700079221976,outstanding_to_payment_ratio,1.0309153865997955,-0.7401342599323898,"Outstanding=10.5917 (pushes_toward Medium Risk, shap=2.5653); Duration=1.1212 (pushes_toward Medium Risk, shap=1.3548); Salary=-0.3681 (pushes_toward Medium Risk, shap=0.9504); Remaining Period=1.3966 (pushes_away Medium Risk, shap=-0.7513); outstanding_to_payment_ratio=1.0309 (pushes_away Medium Risk, shap=-0.7401)"
5000704,5000704-01-005,Low Risk,Medium Risk,Duration,-1.2431913355375146,-1.944833098582265,Salary,-0.2354813495689515,0.8186926736890143,outstanding_to_payment_ratio,-1.3151681858820439,0.7284038033284863,Remaining Period,-1.15649860266568,0.6439800868420501,Periodicity,-1.3106410556482142,-0.5686442223973468,"Duration=-1.2432 (pushes_away Medium Risk, shap=-1.9448); Salary=-0.2355 (pushes_toward Medium Risk, shap=0.8187); outstanding_to_payment_ratio=-1.3152 (pushes_toward Medium Risk, shap=0.7284); Remaining Period=-1.1565 (pushes_toward Medium Risk, shap=0.6440); Periodicity=-1.3106 (pushes_away Medium Risk, shap=-0.5686)"
5000704,5000704-05-00,Low Risk,Low Risk,Salary,-0.2354813495689515,-1.1713368124526018,Voluntary saving,1.5974577301712198,1.0265815518980501,Duration,1.1211817238977415,-0.8592676033952444,outstanding_to_payment_ratio,0.7961758712657633,0.7124811525371177,account_total_outstanding,0.6195019619223672,-0.518232308359065,"Salary=-0.2355 (pushes_away Low Risk, shap=-1.1713); Voluntary saving=1.5975 (pushes_toward Low Risk, shap=1.0266); Duration=1.1212 (pushes_away Low Risk, shap=-0.8593); outstanding_to_payment_ratio=0.7962 (pushes_toward Low Risk, shap=0.7125); account_total_outstanding=0.6195 (pushes_away Low Risk, shap=-0.5182)"
5001132,5001132-02-001,Low Risk,Medium Risk,account_total_savings,7.4960748961896115,2.1323815631004663,Salary,-0.3680747663190891,0.9503865677551956,Compulsory saving,7.353059799583364,-0.5899282855305763,Voluntary saving,-0.41414576399708186,0.5183740743615735,loan_share_of_account_outstanding,-1.4435686229143216,0.4270732730220994,"account_total_savings=7.4961 (pushes_toward Medium Risk, shap=2.1324); Salary=-0.3681 (pushes_toward Medium Risk, shap=0.9504); Compulsory saving=7.3531 (pushes_away Medium Risk, shap=-0.5899); Voluntary saving=-0.4141 (pushes_toward Medium Risk, shap=0.5184); loan_share_of_account_outstanding=-1.4436 (pushes_toward Medium Risk, shap=0.4271)"
5001132,5001132-03-004,Low Risk,Medium Risk,account_total_savings,7.4960748961896115,2.1323815631004663,Salary,-0.3680747663190891,0.9503865677551956,Compulsory saving,7.353059799583364,-0.5899282855305763,Voluntary saving,-0.41414576399708186,0.5183740743615735,start_year,-1.4325066316204942,-0.5011437035576474,"account_total_savings=7.4961 (pushes_toward Medium Risk, shap=2.1324); Salary=-0.3681 (pushes_toward Medium Risk, shap=0.9504); Compulsory saving=7.3531 (pushes_away Medium Risk, shap=-0.5899); Voluntary saving=-0.4141 (pushes_toward Medium Risk, shap=0.5184); start_year=-1.4325 (pushes_away Medium Risk, shap=-0.5011)"
5001132,5001132-03-01,Low Risk,Low Risk,Voluntary saving,11.318066669890108,12.805530098925997,account_total_savings,7.4960748961896115,-5.5248144227091505,Outstanding,6.517081923631743,-3.8945250198959545,Compulsory saving,7.353059799583364,3.0560133917486354,total_savings,7.760746144932714,2.3089544095671184,"Voluntary saving=11.3181 (pushes_toward Low Risk, shap=12.8055); account_total_savings=7.4961 (pushes_away Low Risk, shap=-5.5248); Outstanding=6.5171 (pushes_away Low Risk, shap=-3.8945); Compulsory saving=7.3531 (pushes_toward Low Risk, shap=3.0560); total_savings=7.7607 (pushes_toward Low Risk, shap=2.3090)"
5001178,5001178-05-001,Low Risk,Low Risk,Voluntary saving,2.5032967588166137,2.1242320567657456,Duration,2.3336807287363346,-1.9324577824900548,account_total_savings,2.6078808973060315,-1.0269542911778509,Salary,-0.09035741750069021,-0.9651107247460874,outstanding_to_payment_ratio,0.8463942262263638,0.7502364288973382,"Voluntary saving=2.5033 (pushes_toward Low Risk, shap=2.1242); Duration=2.3337 (pushes_away Low Risk, shap=-1.9325); account_total_savings=2.6079 (pushes_away Low Risk, shap=-1.0270); Salary=-0.0904 (pushes_away Low Risk, shap=-0.9651); outstanding_to_payment_ratio=0.8464 (pushes_toward Low Risk, shap=0.7502)"
5001178,5001178-01-006,Low Risk,Low Risk,Voluntary saving,-0.41414576399708186,-1.4109791196369252,Duration,-1.182566385295585,1.1797937368848945,Periodicity,-1.3106410556482142,1.0526101190264106,account_total_savings,2.6078808973060315,-1.0269542911778509,Outstanding,-0.31964024165319466,1.0176851528772473,"Voluntary saving=-0.4141 (pushes_away Low Risk, shap=-1.4110); Duration=-1.1826 (pushes_toward Low Risk, shap=1.1798); Periodicity=-1.3106 (pushes_toward Low Risk, shap=1.0526); account_total_savings=2.6079 (pushes_away Low Risk, shap=-1.0270); Outstanding=-0.3196 (pushes_toward Low Risk, shap=1.0177)"
